release_year,production_companies,vote_average
1964,George Axelrod Productions,5.8984375
1964,Film Duemila,6.80078125
1964,Federiz,6.80078125
1964,Twentieth Century Fox Film Corporation,6.6015625
1964,Seven Arts Productions,5.69921875
1964,Metro-Goldwyn-Mayer (MGM),5.69921875
1964,Revue Studios,4.69921875
1964,Paramount Pictures,6.3984375
1964,Aubrey Schenck Productions,6.3984375
1964,Warner Bros.,6.69921875
1964,Allied Film Makers,6.3984375
1964,Beaver Films,6.3984375
1964,Alta Vista Film Production,5.6015625
1964,Filmways Pictures,5.19921875
1964,Universal Pictures,4.8984375
1964,Gibraltar Productions,4.8984375
1964,Laurel Productions,4.8984375
1964,Granox Productions,6.30078125
1964,Phalanx Productions,6.5
1964,"Mirisch Corporation, The",6.5
1964,Claude Productions,6.5
1964,Warner Bros.,5.5
1964,Ford-Smith Productions,5.5
1964,Ameran Films,5.69921875
1964,Warner Bros.,5.19921875
1964,Filmways Pictures,4.6015625
1964,Metro-Goldwyn-Mayer (MGM),4.6015625
1964,Paramount Pictures,6.6015625
1964,Paramount Film Service,6.6015625
1964,Keep Films,6.6015625
1964,Twentieth Century Fox Film Corporation,5.30078125
1964,The Associates & Aldrich Company,5.30078125
1964,Friedman-Lewis Productions,6.5
1964,Jacqueline Kay,6.5
1965,Eon Productions,6.30078125
1965,Metro-Goldwyn-Mayer (MGM),6.30078125
1965,Robert Wise Productions,7.19921875
1965,Argyle Enterprises,7.19921875
1965,Metro-Goldwyn-Mayer (MGM),6.8984375
1965,Twentieth Century-Fox Productions,6.6015625
1965,Warner Bros. Home Video,7.6015625
1965,Tenlit Films,6.6015625
1965,Amicus Productions,5.8984375
1965,Paramount Pictures,6.6015625
1965,Otto Preminger Films,6.6015625
1965,Twentieth Century Fox Film Corporation,6.30078125
1965,"Associates & Aldrich Company, The",6.30078125
1965,Subafilms,6.69921875
1965,Paramount Pictures,6.8984375
1965,Hal Wallis Productions,6.8984375
1965,The Rank Organisation,6.6015625
1965,Lowndes Productions Limited,6.6015625
1965,Steven S.A.,6.6015625
1965,Eve Productions Inc.,6.3984375
1965,Solar Productions,6.80078125
1965,Filmways Pictures,6.80078125
1965,Metro-Goldwyn-Mayer (MGM),6.80078125
1965,Famous Artists Productions,6.0
1965,P-R Productions Picture,6.19921875
1965,Metro-Goldwyn-Mayer (MGM),5.69921875
1965,Paramount Pictures,6.3984375
1965,Salem Films Limited,6.3984375
1965,American International Pictures (AIP),6.3984375
1965,Metro-Goldwyn-Mayer (MGM),7.19921875
1965,Seven Arts Pictures,7.19921875
1965,Universal Pictures,5.3984375
1965,Columbia Pictures,5.6015625
1965,Vic Films Productions,5.80078125
1965,Joseph Janni Production,5.80078125
1965,Warner Bros.,6.0
1965,Cinerama Productions Corp.,6.0
1965,United States Pictures,6.0
1965,Compton Films,7.1015625
1965,Tekli British Productions,7.1015625
1965,Amicus Productions,5.30078125
1965,Wheel Productions,5.5
1965,George Stevens Productions,5.69921875
1965,Columbia Pictures Corporation,6.30078125
1965,Harold Hecht Productions,6.30078125
1965,Twentieth Century Fox Film Corporation,6.3984375
1965,Dino de Laurentiis Cinematografica,6.3984375
1965,International Classics,6.3984375
1965,Columbia Pictures Corporation,5.19921875
1965,Jerry Bresler Productions,5.19921875
1965,Stanley Kramer Productions,4.5
1965,Walt Disney Productions,5.8984375
1965,William Castle Productions,4.3984375
1966,MGM Television,7.1015625
1966,The Cat in the Hat Productions,7.1015625
1966,Anglo Enterprises,6.80078125
1966,Vineyard Film Ltd.,6.80078125
1966,Chenault Productions,7.5
1966,Hammer Film Productions,5.6015625
1966,Seven Arts Productions,5.80078125
1966,Dino de Laurentiis Cinematografica,5.80078125
1966,Thalia AG,5.80078125
1966,Bridge Films,6.80078125
1966,Metro-Goldwyn-Mayer (MGM),6.80078125
1966,Carlo Ponti Production,6.80078125
1966,Highland Films,6.30078125
1966,Twentieth Century Fox Film Corporation,5.8984375
1966,DC Comics,5.8984375
1966,William Dozier Productions,5.8984375
1966,Greenlawn Productions,5.8984375
1966,Universal Pictures,6.30078125
1966,Paramount Pictures,6.8984375
1966,Laurel Productions,6.8984375
1966,Tekli British Productions,6.69921875
1966,Phalanx-Jaelem,6.3984375
1966,Universal Pictures,5.6015625
1966,Stanley Donen Films,5.6015625
1966,World Wide Productions,7.30078125
1966,C.B. Films S.A.,5.1015625
1966,The Mirisch Production Company,5.1015625
1966,Twentieth Century Fox Film Corporation,7.0
1966,Solar Productions,7.0
1966,Robert Wise Productions,7.0
1966,Columbia Pictures Corporation,5.80078125
1966,Twentieth Century Fox Film Corporation,5.5
1966,Columbia Pictures,6.0
1966,Warner Bros. Home Video,7.19921875
1966,Lowndes Productions Limited,5.69921875
1966,Proteus Films,5.5
1966,Julian Blaustein Productions Ltd.,5.80078125
1966,20th Century Fox,5.6015625
1966,Peter Rogers Productions,5.8984375
1966,Seven Arts Productions,5.69921875
1966,Hammer Film Productions,5.69921875
1966,Planet Film Productions,5.30078125
1966,Protelco,5.30078125
1966,Twentieth Century Fox Film Corporation,6.69921875
1966,Universal Pictures,6.1015625
1966,Warner Bros.,6.0
1966,High Road,6.6015625
1966,Eden Productions Inc.,6.0
1966,Horizon Pictures,6.0
1966,Columbia Pictures Corporation,6.0
1966,Universal Pictures,6.1015625
1966,Walt Disney Pictures,5.69921875
1966,Paramount Pictures,5.8984375
1966,Solar Productions,5.8984375
1966,Embassy Pictures,5.8984375
1966,The Mirisch Corporation,5.5
1966,Gibraltar Productions,6.6015625
1966,Joel Productions,6.6015625
1966,John Frankenheimer Productions Inc.,6.6015625
1966,Peter Rogers Productions,7.0
1966,Anglo-Amalgamated Film Distributors,7.0
1966,Bruce Brown Films,7.3984375
1966,Cherokee Productions,5.69921875
1966,Joel Productions,5.69921875
1966,Douglas & Lewis Productions,5.69921875
1966,Mosfilm,6.5
1966,Benedict Pictures Corp.,5.3984375
1966,Norm-Iris,1.5
1967,Walt Disney Pictures,7.0
1967,Embassy Pictures Corporation,7.5
1967,Lawrence Turman,7.5
1967,Columbia Pictures Corporation,5.3984375
1967,Famous Artists Productions,5.3984375
1967,Eon Productions,6.19921875
1967,Tatira-Hiller Productions,7.6015625
1967,Warner Brothers/Seven Arts,7.6015625
1967,Paris Films Productions,6.8984375
1967,Five Films,6.8984375
1967,Robert et Raymond Hakim,6.8984375
1967,Warner Bros.,7.19921875
1967,Jalem Productions,7.19921875
1967,Warner Bros.,7.5
1967,Filmways Pictures,6.69921875
1967,Cadre Films,6.69921875
1967,Metro-Goldwyn-Mayer (MGM),6.69921875
1967,Embassy Pictures Corporation,6.80078125
1967,Crossbow Productions,6.80078125
1967,Lowndes Productions Limited,4.6015625
1967,Metro-Goldwyn-Mayer (MGM),7.19921875
1967,Seven Arts Pictures,7.19921875
1967,MKH,7.19921875
1967,United Artists,7.0
1967,"Mirisch Corporation, The",7.0
1967,Columbia Pictures,6.1015625
1967,Horizon Pictures (II),6.1015625
1967,Filmsonor S.A.,6.1015625
1967,Columbia British Productions,7.19921875
1967,Stanley Kramer Productions,7.3984375
1967,Hammer Film Productions,5.30078125
1967,Columbia Pictures Corporation,6.8984375
1967,Pax Enterprises,6.8984375
1967,Columbia Pictures,5.19921875
1967,The Rank Organisation,5.8984375
1967,Twentieth Century Fox Film Corporation,5.1015625
1967,APJAC Productions,5.1015625
1967,Twentieth Century Fox Film Corporation,6.5
1967,Hombre Productions,6.5
1967,Red Lion,6.19921875
1967,Paramount Pictures,6.8984375
1967,Hal Wallis Productions,6.8984375
1967,Nancy Enterprises Inc. (I),6.8984375
1967,Twentieth Century Fox Film Corporation,6.69921875
1967,Stanley Donen Films,6.69921875
1967,Metro-Goldwyn-Mayer (MGM),6.69921875
1967,Winkler Films,6.69921875
1967,Universal Pictures,6.30078125
1967,Batjac Productions,6.30078125
1967,Marvin Schwartz Productions,6.30078125
1967,Universal Pictures,5.3984375
1967,Chaplin Film Productions Ltd.,5.3984375
1967,Lasky-Monka,6.30078125
1967,Twentieth Century Fox Film Corporation,5.69921875
1967,Stanley Donen Films,5.69921875
1967,Docurama,6.8984375
1967,Walt Disney Productions,5.5
1967,Universal Pictures,5.5
1967,Ross Hunter Productions Inc.,5.5
1967,Hammer Film Productions,5.3984375
1967,Trimod Films,5.30078125
1967,The Rank Organisation,5.5
1967,Adder,5.5
1968,Stanley Kubrick Productions,7.69921875
1968,Metro-Goldwyn-Mayer (MGM),7.69921875
1968,Twentieth Century Fox Film Corporation,7.19921875
1968,APJAC Productions,7.19921875
1968,Laurel Group,7.19921875
1968,Off Color Films,7.19921875
1968,Image Ten,7.19921875
1968,Market Square Productions,7.19921875
1968,Twentieth Century Fox Film Corporation,6.6015625
1968,Dino de Laurentiis Cinematografica,5.3984375
1968,Marianne Productions,5.3984375
1968,Solar Productions,6.69921875
1968,Warner Brothers/Seven Arts,6.69921875
1968,Walt Disney Productions,5.80078125
1968,AVCO Embassy Pictures,6.8984375
1968,Haworth Productions,6.8984375
1968,Paramount Pictures,7.30078125
1968,William Castle Productions,7.30078125
1968,Apple Corps,7.0
1968,King Features Production,7.0
1968,Warwick Film Productions,6.19921875
1968,Romulus Films,6.19921875
1968,Metro-Goldwyn-Mayer (MGM),6.30078125
1968,Metro-Goldwyn-Mayer (MGM),6.8984375
1968,Winkast Film Productions,6.8984375
1968,Jerry Gershwin Productions,6.8984375
1968,Elliott Kastner Productions,6.8984375
1968,Metro-Goldwyn-Mayer (MGM),7.1015625
1968,United Artists,7.0
1968,The Mirisch Corporation,7.0
1968,Solar Productions,7.0
1968,Simkoe,7.0
1968,Paramount Pictures,7.30078125
1968,Paramount Pictures,7.0
1968,Dino de Laurentiis Cinematografica,7.0
1968,BHE Films,7.0
1968,Verona Produzione,7.0
1968,Hammer Film Productions,6.19921875
1968,Associated British-PathÃ©,6.19921875
1968,Seven Arts Pictures,6.19921875
1968,Batjac Productions,5.6015625
1968,Dramatic Features,6.6015625
1968,Warfield,6.6015625
1968,Horizon Pictures,5.5
1968,Columbia Pictures Corporation,5.5
1968,Dover Productions,5.5
1968,Walt Disney Productions,6.1015625
1968,Twentieth Century Fox Film Corporation,6.30078125
1968,Columbia Pictures Corporation,6.6015625
1968,Rastar Productions,6.6015625
1968,Memorial Enterprises,6.0
1968,Rankin/Bass Productions,6.0
1968,Maurice McEndree Productions,6.5
1968,Walter Reade Organization Inc.,6.5
1968,Faces International Films,6.5
1968,Selmur Productions,6.0
1968,Desilu Productions,5.69921875
1968,Walden Productions,5.69921875
1968,Wolper Pictures,6.30078125
1968,Universal Pictures,5.5
1968,Tigon British Film Productions,6.19921875
1968,American International Productions,6.19921875
1968,Universal Pictures,5.8984375
1968,Malpaso Productions,5.8984375
1968,Filmways Pictures,5.69921875
1968,Raybert Productions,5.5
1968,Metro-Goldwyn-Mayer (MGM),6.0
1968,Pensylvania Academy of Fine Arts,5.8984375
1969,Eon Productions,6.3984375
1969,Metro-Goldwyn-Mayer (MGM),6.3984375
1969,Danjaq,6.3984375
1969,Twentieth Century Fox Film Corporation,7.0
1969,Campanile Productions,7.0
1969,Newman-Foreman Productions,7.0
1969,Raybert Productions,6.6015625
1969,Pando Company Inc.,6.6015625
1969,United Artists,7.0
1969,Florin Productions,7.0
1969,Jerome Hellman Productions,7.0
1969,Warner Brothers/Seven Arts,7.19921875
1969,Palomar Pictures,6.8984375
1969,American Broadcasting Company (ABC),6.8984375
1969,Spitfire Productions,6.1015625
1969,Universal Pictures,5.69921875
1969,Rankin/Bass Productions,6.69921875
1969,American Broadcasting Company (ABC),6.69921875
1969,Palomar Pictures (I),6.69921875
1969,Paramount Pictures,5.1015625
1969,Malpaso Productions,5.1015625
1969,Alan Jay Lerner Productions,5.1015625
1969,20th Century Fox,5.80078125
1969,Woodfall Film Productions,7.30078125
1969,Kestrel Films Ltd.,7.30078125
1969,Columbia Pictures,6.19921875
1969,Cinema Center Films,5.1015625
1969,Lee Mendelson Film Productions,5.1015625
1969,Bill Melendez Productions,5.1015625
1969,United Feature Syndicate (UFS),5.1015625
1969,Walt Disney Pictures,5.8984375
1969,Paramount Pictures,7.0
1969,Brandywine Productions Ltd.,5.0
1969,Warner Brothers/Seven Arts,3.900390625
1969,Cherokee Productions,6.3984375
1969,Three Pictures,6.3984375
1969,Wolper Pictures,5.1015625
1969,The Rank Organisation,6.0
1969,Filmways Pictures,4.6015625
1969,Avala Film,4.6015625
1969,RAF Industries,4.0
1969,American International Productions,5.30078125
1969,Twentieth Century-Fox Productions,5.80078125
1969,Century 21 Television,5.69921875
1969,Paramount Pictures,5.5
1969,The Rank Organisation,6.3984375
1970,Walt Disney Productions,7.0
1970,Twentieth Century Fox Film Corporation,5.8984375
1970,APJAC Productions,5.8984375
1970,Twentieth Century Fox Film Corporation,6.80078125
1970,Aspen Productions (I),6.80078125
1970,Ingo Preminger Productions,6.80078125
1970,Katzka-Loeb,6.69921875
1970,Avala Film,6.69921875
1970,Metro-Goldwyn-Mayer (MGM),6.69921875
1970,Hammer Film Productions,6.3984375
1970,Twentieth Century Fox Film Corporation,6.8984375
1970,Paramount Pictures,6.6015625
1970,Metro-Goldwyn-Mayer,7.0
1970,Twentieth Century Fox Film Corporation,6.6015625
1970,Twentieth Century Fox Film Corporation,6.19921875
1970,Universal Pictures,6.30078125
1970,Malpaso Productions,6.30078125
1970,Sanen Productions,6.30078125
1970,Universal Pictures,6.19921875
1970,Ross Hunter Productions Inc.,6.19921875
1970,Metro-Goldwyn-Mayer (MGM),6.5
1970,American International Pictures (AIP),6.3984375
1970,Rankin/Bass Productions,6.5
1970,Paramount,6.69921875
1970,Filmways Productions,6.69921875
1970,Cinema Center Films,7.19921875
1970,Stockbridge-Hiller Productions,7.19921875
1970,Universal Pictures,6.6015625
1970,AVCO Embassy Pictures,7.1015625
1970,Katzka-Loeb,7.1015625
1970,Crossbow Productions,6.1015625
1970,The Twelve Chairs Company,6.1015625
1970,Cinema Center Films,5.80078125
1970,Waterbury Films,5.80078125
1970,FÃ©nix Cooperativa CinematogrÃ¡fica,6.3984375
1970,Corona Filmproduktion,6.3984375
1970,Filmar Compagnia Cinematografica,6.3984375
1970,Goodtimes Enterprises,6.19921875
1970,Warner Bros.,6.19921875
1970,Raybert Productions,6.80078125
1970,Mayflower Pictures,4.30078125
1970,Wadleigh-Maurice,6.19921875
1970,Warner Bros.,7.30078125
1970,The Rank Organisation,6.5
1970,Peter Rogers Productions,6.5
1970,Cinema Center Films,6.6015625
1970,Maysles Films,7.6015625
1970,Batjac Productions,6.69921875
1970,Warner Bros.,6.69921875
1970,Apple Corps,6.30078125
1970,Batjac Productions,5.69921875
1970,Cinema Center Films,5.69921875
1970,Malabar,5.69921875
1970,Maran Film,6.1015625
1970,Bavaria Film,6.1015625
1970,Kettledrum Productions,6.1015625
1970,The Mirisch Production Company,6.69921875
1970,Mirisch Films,6.69921875
1970,Sir Nigel Films,6.69921875
1970,Dino de Laurentiis Cinematografica,6.19921875
1970,Mosfilm,6.19921875
1970,Hammer Film Productions,6.5
1970,EMI Films Ltd.,7.5
1970,Excalibur Films,6.30078125
1970,Warner Bros.,6.69921875
1971,Hawk Films,7.69921875
1971,Warner Bros.,7.69921875
1971,David L. Wolper Productions,7.19921875
1971,Eon Productions,6.19921875
1971,Metro-Goldwyn-Mayer (MGM),6.19921875
1971,Danjaq,6.19921875
1971,Warner Bros.,6.6015625
1971,Warner Bros.,7.19921875
1971,Malpaso Company,7.19921875
1971,Twentieth Century Fox Film Corporation,6.19921875
1971,APJAC Productions,6.19921875
1971,ABC Pictures,6.80078125
1971,Walter Seltzer Productions,5.69921875
1971,Walt Disney Productions,6.6015625
1971,American Zoetrope,6.1015625
1971,Warner Bros.,6.1015625
1971,Paramount Pictures,7.3984375
1971,D'Antoni Productions,7.0
1971,Schine-Moore Productions,7.0
1971,Universal Pictures,5.80078125
1971,Malpaso Productions,5.80078125
1971,Columbia Pictures,6.8984375
1971,Python (Monty) Pictures Limited,6.8984375
1971,Playboy Productions,6.8984375
1971,Kettledrum Films,6.8984375
1971,Paramount Pictures,6.5
1971,Tigon British Film Productions,6.5
1971,Curtwel Productions,6.5
1971,gadd productions corp.,6.0
1971,Didion-Dunne,6.0
1971,Universal TV,7.0
1971,Metro-Goldwyn-Mayer (MGM),7.0
1971,United Artists,6.5
1971,Jack Rollins & Charles H. Joffe Productions,6.5
1971,Group W,7.1015625
1971,NLT,7.1015625
1971,Playboy Productions,6.3984375
1971,Caliban Films,6.3984375
1971,Universal Pictures,6.69921875
1971,Batjac Productions,6.3984375
1971,Universal Pictures,5.80078125
1971,Michael Laughlin Enterprises,5.80078125
1971,Si Litvinoff Film Production,7.1015625
1971,Max L. Raab Productions,7.1015625
1971,Metro-Goldwyn-Mayer (MGM),6.19921875
1971,Shaft Productions Ltd.,6.19921875
1971,Rafran Cinematografica,7.3984375
1971,Euro International Films,7.3984375
1971,Cartier Productions,6.6015625
1971,"Mirisch Corporation, The",6.6015625
1971,Columbia Pictures Corporation,7.0
1971,BBS Productions,7.0
1971,Twentieth Century Fox Film Corporation,7.1015625
1971,Cupid Productions,7.1015625
1971,Warner Bros.,6.80078125
1971,Amicus Productions,6.1015625
1971,Columbia Pictures Corporation,6.3984375
1971,Robert M. Weitman Productions,6.3984375
1971,United Artists,6.80078125
1971,Vectia,6.80078125
1971,Gus Productions,6.1015625
1971,Warner Bros.,6.1015625
1971,World Entertainment,7.0
1971,Solar Productions,6.80078125
1971,Cinema Center Films,6.80078125
1971,Malpaso Productions,7.3984375
1971,Hammer Film Productions,5.30078125
1971,Screen Gems Television,6.80078125
1971,Limbridge,5.1015625
1971,Wilderness Films,5.1015625
1971,Chartwell,6.6015625
1971,Francoise,6.6015625
1971,Elkins Entertainment,5.8984375
1971,Aries Productions,5.8984375
1971,Elkins Productions International Corporation,5.8984375
1971,The Rank Organisation,6.19921875
1971,Hammer Film Productions,6.19921875
1971,Unidis,5.5
1971,Jolly Film,5.5
1971,Theatre Le Rex S.A.,5.5
1971,AVCO Embassy Pictures,6.1015625
1971,Norcon,2.900390625
1971,Hammer Film Productions,5.0
1971,Columbia Pictures,6.1015625
1971,Columbia Pictures,6.3984375
1971,Filmways Pictures,6.3984375
1971,Genesis Productions Ltd.,6.3984375
1971,American International Pictures (AIP),7.0
1971,Russo Productions,7.0
1971,EMI Films,5.8984375
1971,Roxy Film,5.30078125
1971,CinÃ© Vog Films,5.30078125
1971,Showking Films,5.30078125
1971,Maya Films,5.30078125
1971,Simcha Productions,6.3984375
1972,Paramount Pictures,8.296875
1972,Alfran Productions,8.296875
1972,Warner Bros.,7.0
1972,Elmer Enterprises,7.0
1972,Twentieth Century Fox Film Corporation,6.1015625
1972,APJAC Productions,6.1015625
1972,ABC Pictures,6.8984375
1972,Bavaria Film,6.8984375
1972,Allied Artists Pictures,6.8984375
1972,Universal Pictures,6.8984375
1972,Universal Pictures,6.19921875
1972,Malpaso Productions,6.19921875
1972,Universal Pictures,6.1015625
1972,Trumbull/Gruskoff Productions,6.1015625
1972,Vanadas Productions,6.0
1972,Dreamland Productions,6.30078125
1972,United Artists,6.5
1972,Granada Films,6.6015625
1972,Benmar Productions,6.6015625
1972,Lobster Enterprises,6.1015625
1972,Sean S. Cunningham Films,6.1015625
1972,The Night Co.,6.1015625
1972,Saticoy Productions,7.30078125
