release_year,director,vote_average
1964,John Frankenheimer,6.3984375
1964,Richard Quine,5.8984375
1964,Michelangelo Antonioni,6.80078125
1964,Mihalis Kakogiannis,6.6015625
1964,John Huston,5.69921875
1964,Don Siegel,4.69921875
1964,Byron Haskin,6.3984375
1964,Paul Henreid,6.69921875
1964,Bryan Forbes,6.3984375
1964,Roger Corman,5.6015625
1964,Jules Dassin,5.19921875
1964,Howard Hawks,4.8984375
1964,Ralph Nelson,6.30078125
1964,Billy Wilder,6.5
1964,John Ford,5.5
1964,Nathan H. Juran,5.69921875
1964,Gordon Douglas,5.19921875
1964,Arthur Hiller,4.6015625
1964,Peter Glenville,6.6015625
1964,Robert Aldrich,5.30078125
1964,Herschell Gordon Lewis,6.5
1965,Terence Young,6.30078125
1965,Robert Wise,7.19921875
1965,David Lean,6.8984375
1965,Ken Annakin,6.6015625
1965,Bill Melendez,7.6015625
1965,George Pollock,6.6015625
1965,Freddie Francis,5.8984375
1965,Otto Preminger,6.6015625
1965,Robert Aldrich,6.30078125
1965,Richard Lester,6.69921875
1965,Henry Hathaway,6.8984375
1965,Sidney J. Furie,6.6015625
1965,Russ Meyer,6.3984375
1965,Norman Jewison,6.80078125
1965,Clive Donner,6.0
1965,Mark Robson,6.19921875
1965,Michael Anderson,5.69921875
1965,Martin Ritt,6.3984375
1965,Norman Taurog,6.3984375
1965,Sidney Lumet,7.19921875
1965,Andrew V. McLaglen,5.3984375
1965,Anthony Mann,5.6015625
1965,John Schlesinger,5.80078125
1965,Ken Annakin,6.0
1965,Roman Polanski,7.1015625
1965,Freddie Francis,5.30078125
1965,Otto Preminger,5.5
1965,George Stevens,5.69921875
1965,Elliot Silverstein,6.30078125
1965,Carol Reed,6.3984375
1965,Sam Peckinpah,5.19921875
1965,Stanley Kramer,4.5
1965,Robert Stevenson,5.8984375
1965,William Castle,4.3984375
1966,Chuck Jones,7.1015625
1966,Ben Washam,7.1015625
1966,FranÃ§ois Truffaut,6.80078125
1966,Mike Nichols,7.5
1966,Don Chaffey,5.6015625
1966,John Huston,5.80078125
1966,Michelangelo Antonioni,6.80078125
1966,Fred Zinnemann,6.30078125
1966,Leslie H. Martinson,5.8984375
1966,Alfred Hitchcock,6.30078125
1966,Howard Hawks,6.8984375
1966,Roman Polanski,6.69921875
1966,Billy Wilder,6.3984375
1966,Stanley Donen,5.6015625
1966,William Wyler,7.30078125
1966,Burt Kennedy,5.1015625
1966,Robert Wise,7.0
1966,Charles Walters,5.80078125
1966,John Guillermin,5.5
1966,Richard Brooks,6.0
1966,Bill Melendez,7.19921875
1966,Guy Hamilton,5.69921875
1966,Monte Hellman,5.5
1966,Basil Dearden,5.80078125
1966,Eliot Elisofon,5.80078125
1966,Daniel Mann,5.6015625
1966,Gerald Thomas,5.8984375
1966,Terence Fisher,5.69921875
1966,Terence Fisher,5.30078125
1966,Richard Fleischer,6.69921875
1966,Ronald Neame,6.1015625
1966,Jack Smight,6.0
1966,James Hill,6.6015625
1966,Fielder Cook,6.0
1966,Arthur Penn,6.0
1966,Alan Rafkin,6.1015625
1966,Norman Tokar,5.69921875
1966,Henry Hathaway,5.8984375
1966,Norman Jewison,5.5
1966,John Frankenheimer,6.6015625
1966,Gerald Thomas,7.0
1966,Bruce Brown,7.3984375
1966,John Frankenheimer,5.69921875
1966,Eldar Ryazanov,6.5
1966,Woody Allen,5.3984375
1966,Harold P. Warren,1.5
1967,Wolfgang Reitherman,7.0
1967,Mike Nichols,7.5
1967,Val Guest,5.3984375
1967,Ken Hughes,5.3984375
1967,John Huston,5.3984375
1967,Joseph McGrath,5.3984375
1967,Robert Parrish,5.3984375
1967,Lewis Gilbert,6.19921875
1967,Arthur Penn,7.6015625
1967,Luis BuÃ±uel,6.8984375
1967,Stuart Rosenberg,7.19921875
1967,Terence Young,7.5
1967,Roman Polanski,6.69921875
1967,Mel Brooks,6.80078125
1967,Ken Russell,4.6015625
1967,Robert Aldrich,7.19921875
1967,Norman Jewison,7.0
1967,Anatole Litvak,6.1015625
1967,James Clavell,7.19921875
1967,Stanley Kramer,7.3984375
1967,Roy Ward Baker,5.30078125
1967,Richard Brooks,6.8984375
1967,Franco Zeffirelli,5.19921875
1967,Gerald Thomas,5.8984375
1967,Richard Fleischer,5.1015625
1967,Martin Ritt,6.5
1967,Mark Robson,6.19921875
1967,Gene Saks,6.8984375
1967,Stanley Donen,6.69921875
1967,John Boorman,6.69921875
1967,Burt Kennedy,6.30078125
1967,Charles Chaplin,5.3984375
1967,Jack Hill ,6.30078125
1967,Bart Patton,6.30078125
1967,Stanley Donen,5.69921875
1967,D.A. Pennebaker,6.8984375
1967,Robert Stevenson,5.5
1967,George Roy Hill,5.5
1967,Terence Fisher,5.3984375
1967,Martin Scorsese,5.30078125
1967,Gerald Thomas,5.5
1968,Stanley Kubrick,7.69921875
1968,Franklin J. Schaffner,7.19921875
1968,George A. Romero,7.19921875
1968,Richard Fleischer,6.6015625
1968,Roger Vadim,5.3984375
1968,Peter Yates,6.69921875
1968,Robert Stevenson,5.80078125
1968,Anthony Harvey,6.8984375
1968,Roman Polanski,7.30078125
1968,George Dunning,7.0
1968,Carol Reed,6.19921875
1968,Ted Post,6.30078125
1968,Brian G. Hutton,6.8984375
1968,Blake Edwards,7.1015625
1968,Norman Jewison,7.0
1968,Gene Saks,7.30078125
1968,Franco Zeffirelli,7.0
1968,Terence Fisher,6.19921875
1968,John Wayne,5.6015625
1968,Ken Hughes,6.6015625
1968,Frank Perry,5.5
1968,Sydney Pollack,5.5
1968,Robert Stevenson,6.1015625
1968,Noel Black,6.30078125
1968,William Wyler,6.6015625
1968,Lindsay Anderson,6.0
1968,"Arthur Rankin, Jr.",6.0
1968,Jules Bass,6.0
1968,John Cassavetes,6.5
1968,John Boorman,6.0
1968,Melville Shavelson,5.69921875
1968,Andrew V. McLaglen,6.30078125
1968,Andrew V. McLaglen,5.5
1968,Michael Reeves,6.19921875
1968,Don Siegel,5.8984375
1968,John Sturges,5.69921875
1968,Bob Rafelson,5.5
1968,Ralph Nelson,6.0
1968,David Lynch,5.8984375
1969,Peter R. Hunt,6.3984375
1969,George Roy Hill,7.0
1969,Dennis Hopper,6.6015625
1969,John Schlesinger,7.0
1969,Sam Peckinpah,7.19921875
1969,Woody Allen,6.8984375
1969,Guy Hamilton,6.1015625
1969,Alfred Hitchcock,5.69921875
1969,Jules Bass,6.69921875
1969,"Arthur Rankin, Jr.",6.69921875
1969,Sydney Pollack,6.69921875
1969,Joshua Logan,5.1015625
1969,Gene Kelly,5.80078125
1969,Ken Loach,7.30078125
1969,J. Lee Thompson,6.19921875
1969,Bill Melendez,5.1015625
1969,Robert Butler,5.8984375
1969,Henry Hathaway,7.0
1969,Ken Russell,5.0
1969,Jim O'Connolly,3.900390625
1969,Burt Kennedy,6.3984375
1969,John Guillermin,5.1015625
1969,Gerald Thomas,6.0
1969,Sydney Pollack,4.6015625
1969,Arthur Allan Seidelman,4.0
1969,Gordon Hessler,5.30078125
1969,Ronald Neame,5.80078125
1969,Robert Parrish,5.69921875
1969,Michael Ritchie,5.5
1969,Gerald Thomas,6.3984375
1970,Wolfgang Reitherman,7.0
1970,Ted Post,5.8984375
1970,Robert Altman,6.80078125
1970,Brian G. Hutton,6.69921875
1970,Peter Sasdy,6.3984375
1970,Franklin J. Schaffner,6.8984375
1970,Arthur Hiller,6.6015625
1970,David Lean,7.0
1970,Richard Fleischer,6.6015625
1970,Kinji Fukasaku,6.6015625
1970,Toshio Masuda,6.6015625
1970,Russ Meyer,6.19921875
1970,Don Siegel,6.30078125
1970,George Seaton,6.19921875
1970,Michelangelo Antonioni,6.5
1970,Gordon Hessler,6.3984375
1970,Jules Bass,6.5
1970,"Arthur Rankin, Jr.",6.5
1970,Mike Nichols,6.69921875
1970,Arthur Penn,7.19921875
1970,Joseph Sargent,6.6015625
1970,Ralph Nelson,7.1015625
1970,Mel Brooks,6.1015625
1970,Ronald Neame,5.80078125
1970,JesÃºs Franco,6.3984375
1970,Nicolas Roeg,6.19921875
1970,Donald Cammell,6.19921875
1970,Bob Rafelson,6.80078125
1970,Herschell Gordon Lewis,4.30078125
1970,Michael Wadleigh,6.19921875
1970,Sam Peckinpah,7.30078125
1970,Gerald Thomas,6.5
1970,Elliot Silverstein,6.6015625
1970,Albert Maysles,7.6015625
1970,Charlotte Zwerin,7.6015625
1970,David Maysles,7.6015625
1970,Andrew V. McLaglen,6.69921875
1970,Michael Lindsay-Hogg,6.30078125
1970,Howard Hawks,5.69921875
1970,Jerzy Skolimowski,6.1015625
1970,Billy Wilder,6.69921875
1970,Sergey Bondarchuk,6.19921875
1970,Roy Ward Baker,6.5
1970,Robert Fuest,7.5
1970,Basil Dearden,6.30078125
1970,Joseph L. Mankiewicz,6.69921875
1971,Stanley Kubrick,7.69921875
1971,Mel Stuart,7.19921875
1971,Guy Hamilton,6.19921875
1971,Robert Mulligan,6.6015625
1971,Don Siegel,7.19921875
1971,Don Taylor,6.19921875
1971,Sam Peckinpah,6.80078125
1971,Boris Sagal,5.69921875
1971,Robert Stevenson,6.6015625
1971,George Lucas,6.1015625
1971,Hal Ashby,7.3984375
1971,William Friedkin,7.0
1971,Clint Eastwood,5.80078125
1971,Ian MacNaughton,6.8984375
1971,Burt Kennedy,6.5
1971,Jerry Schatzberg,6.0
1971,Steven Spielberg,7.0
1971,Mike Hodges,7.0
1971,Woody Allen,6.5
1971,Ted Kotcheff,7.1015625
1971,Roman Polanski,6.3984375
1971,Robert Wise,6.69921875
1971,George Sherman,6.3984375
1971,Monte Hellman,5.80078125
1971,Nicolas Roeg,7.1015625
1971,Gordon Parks,6.19921875
1971,Sergio Leone,7.3984375
1971,Norman Jewison,6.6015625
1971,Peter Bogdanovich,7.0
1971,Richard C. Sarafian,7.1015625
1971,Robert Altman,6.80078125
1971,Peter Duffell,6.1015625
1971,Sidney Lumet,6.3984375
1971,John Schlesinger,6.80078125
1971,Alan J. Pakula,6.1015625
1971,Dalton Trumbo,7.0
1971,Lee H. Katzin,6.80078125
1971,Don Siegel,7.3984375
1971,Peter Sasdy,5.30078125
1971,Buzz Kulik,6.80078125
1971,Richard C. Sarafian,5.1015625
1971,Peter Watkins,6.6015625
1971,Elaine May,5.8984375
1971,John Hough,6.19921875
1971,Giuliano Montaldo,5.5
1971,Mike Nichols,6.1015625
1971,Norman Cohen,2.900390625
1971,Peter Sasdy,5.0
1971,Franklin J. Schaffner,6.1015625
1971,Richard Fleischer,6.3984375
1971,Robert Fuest,7.0
1971,Ken Russell,7.0
1971,Joseph Losey,5.8984375
1971,Harry KÃ¼mel,5.30078125
1971,Arthur Hiller,6.3984375
1972,Francis Ford Coppola,8.296875
1972,John Boorman,7.0
1972,J. Lee Thompson,6.1015625
1972,Bob Fosse,6.8984375
1972,Alfred Hitchcock,6.8984375
1972,John Sturges,6.19921875
1972,Douglas Trumbull,6.1015625
1972,George Roy Hill,6.0
1972,John Waters,6.30078125
1972,Woody Allen,6.5
1972,Eugenio MartÃ­n,6.6015625
1972,Wes Craven,6.1015625
1972,Peter Bogdanovich,7.30078125
1972,Sydney Pollack,7.0
1972,Michael Winner,6.6015625
1972,Ronald Neame,7.69921875
1972,Irwin Allen,7.69921875
1972,Michael Winner,6.5
1972,Joseph L. Mankiewicz,7.1015625
1972,Mark Rydell,6.6015625
1972,Sam Peckinpah,7.19921875
1972,Robert Butler,7.6015625
1972,Freddie Francis,8.0
1972,Herbert Ross,7.19921875
1972,Martin Scorsese,5.80078125
1972,Gerald Thomas,5.69921875
1972,Billy Wilder,6.5
1972,Ralph Bakshi,6.30078125
1972,Michael Ritchie,6.69921875
1972,Barry Shear,5.8984375
1972,John Huston,6.0
1972,Robert Mulligan,5.30078125
1972,Roy Ward Baker,5.69921875
1972,William Crain,6.1015625
1972,Gerald Thomas,5.80078125
1972,William F. Claxton,5.69921875
1972,Robert Fuest,6.19921875
1972,John Huston,5.8984375
1973,Wolfgang Reitherman,6.8984375
1973,William Friedkin,7.19921875
1973,Guy Hamilton,6.1015625
1973,Martin Scorsese,7.1015625
1973,Robert Clouse,7.0
1973,Michael Crichton,6.3984375
1973,J. Lee Thompson,5.30078125
1973,Nicolas Roeg,6.69921875
1973,George Roy Hill,7.69921875
1973,Ted Post,6.8984375
1973,Clint Eastwood,7.1015625
1973,Fred Zinnemann,6.69921875
1973,Clint Eastwood,7.1015625
1973,George Lucas,6.5
1973,Richard Fleischer,6.6015625
1973,Franklin J. Schaffner,7.3984375
1973,Woody Allen,6.8984375
1973,Norman Jewison,6.8984375
1973,Sidney Lumet,7.30078125
1973,Don Siegel,6.80078125
1973,Peter Bogdanovich,7.69921875
1973,Richard Lester,7.0
1973,Robert Altman,7.0
1973,Sam Peckinpah,7.3984375
1973,Gordon Hessler,6.30078125
1973,John Hough,6.5
1973,Hal Ashby,6.80078125
1973,Charles A. Nichols,6.30078125
1973,Iwao Takamoto,6.30078125
1973,Andrew V. McLaglen,5.0
1973,Terrence Malick,7.30078125
1973,Jack Hill ,7.1015625
1973,Roy Ward Baker,6.5
1973,Brian De Palma,7.0
1973,Burt Kennedy,6.80078125
1973,Bill Melendez,7.6015625
1973,Phil Roman,7.6015625
1973,Phil Karlson,6.3984375
1973,Terence Fisher,6.69921875
1973,Alejandro Jodorowsky,7.3984375
1973,James William Guercio,6.1015625
1973,Peter Yates,6.8984375
1973,Sydney Pollack,6.8984375
1973,Orson Welles,7.0
1973,Sidney Lumet,7.30078125
1973,Alan Gibson,4.80078125
1973,Bernard L. Kowalski,6.5
1973,Willard Huyck,6.8984375
1973,Gloria Katz,6.8984375
1973,John Newland,5.8984375
1973,Philip D'Antoni,6.6015625
1973,Jerry Schatzberg,6.5
1973,Robin Hardy,6.69921875
1973,Paul Morrissey,4.80078125
1973,George A. Romero,6.0
1973,Herbert Ross,6.8984375
1973,Douglas Hickox,6.80078125
1973,John Milius,6.69921875
1974,Francis Ford Coppola,8.1015625
1974,Roman Polanski,7.69921875
1974,Guy Hamilton,6.1015625
1974,Mel Brooks,7.5
1974,Tobe Hooper,6.80078125
1974,John Carpenter,5.3984375
1974,Francis Ford Coppola,7.19921875
1974,Robert Stevenson,6.1015625
1974,Sidney Lumet,6.80078125
1974,Mel Brooks,7.0
1974,Richard Lester,6.3984375
1974,Jack Smight,6.1015625
1974,Steven Spielberg,6.1015625
1974,Liliana Cavani,6.1015625
1974,Jack Clayton,6.1015625
